tke_prof,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0.001,
0.001,
0.001,
0.001,
0.001,
0.001,
0.003,
0.01,
0.018,
0.03,
0.042,
0.05,
0.07,
0.087,
0.099,
0.111,
0.132,
0.176,
0.196,
0.201,
0.208,
0.213,
0.218,
0.227,
0.24,
0.268,
0.286,
0.294,
0.301,
0.313,
0.337,
0.354,
0.36,
0.37,
0.379,
0.385,
0.401,
0.42,
0.435,
0.449,
0.46,
0.469,
0.483,
0.491,
0.498,
0.505,
0.511,
0.515,
0.517,
0.517,
0.517,
0.517,
0.519,
0.522,
0.528,
0.533,
0.538,
0.542,
0.545,
0.552,
0.555,
0.557,
0.559,
0.561,
0.564,
0.566,
0.569,
0.572,
0.576,
0.58,
0.584,
0.588,
0.593,
0.599,
0.606,
0.61,
0.615,
0.621,
0.627,
0.633,
0.638,
0.641,
0.645,
0.65,
0.656,
0.661,
0.666,
0.671,
0.681,
0.691,
0.702,
0.714,
0.726,
0.74,
0.756,
0.773,
0.788,
0.8,
0.807,
0.812,
0.817,
0.822,
0.828,
0.835,
0.842,
0.848,
0.851,
0.851,
0.851,
0.848,
0.844,
0.843,
0.829,
0.819,
0.811,
0.803,
0.794,
0.761,
0.746,
0.746,
0.743,
0.74,
0.739,
0.734,
0.726,
0.703,
0.689,
0.69,
0.69,
0.685,
0.671,
0.664,
0.666,
0.663,
0.661,
0.661,
0.656,
0.653,
0.649,
0.643,
0.64,
0.636,
0.627,
0.62,
0.613,
0.606,
0.599,
0.596,
0.596,
0.599,
0.602,
0.605,
0.607,
0.608,
0.609,
0.612,
0.614,
0.616,
0.619,
0.621,
0.627,
0.637,
0.642,
0.64,
0.619,
0.617,
0.622,
0.618,
0.609,
0.602,
0.594,
0.587,
0.581,
0.578,
0.578,
0.58,
0.583,
0.586,
0.589,
0.59,
0.591,
0.593,
0.596,
0.598,
0.601,
0.603,
0.608,
0.618,
0.623,
0.622,
0.619,
0.617,
0.622,
0.618,
0.609,
0.602,
0.594,
0.587,
0.618,
0.614,
0.615,
0.617,
0.62,
0.623,
0.626,
0.627,
0.628,
0.63,
0.633,
0.635,
0.638,
0.64,
0.645,
0.655,
0.66,
0.658,
0.656,
0.654,
0.658,
0.655,
0.645,
0.638,
0.631,
0.624,
0.618,
0.614,
0.615,
0.617,
0.62,
0.623,
0.626,
0.627,
0.628,
0.63,
0.633,
0.635,
0.638,
0.64,
0.645,
0.655,
0.66,
0.658,
0.656,
0.654,
0.658,
0.655,
0.645,
0.638,
0.631,
0.624,
0.618,
0.614,
0.615,
0.617,
0.62,
0.623,
0.626,
0.627,
0.628,
0.63,
0.633,
0.635,
0.638,
0.64,
0.645,
0.655,
0.66,
0.658,
0.656,
0.654,
0.658,
0.655,
0.645,
0.638,
0.631,
0.624,
0.618,
0.614,
0.615,
0.617,
0.62,
0.623,
0.626,
0.627,
0.628,
0.63,
0.633,
0.635,
0.638,
0.64,
0.645,
0.655,
0.66,
0.658,
0.656,
0.654,
0.658,
0.655,
0.645,
0.638,
0.631,
0.624,
0.618,
0.614,
0.615,
0.617,
0.62,
0.623,
0.626,
0.627,
0.628,
0.63,
0.633,
0.635,
0.638,
0.64,
0.645,
0.655,
0.66,
0.658,
0.656,
0.654,
0.658,
0.655,
0.645,
0.638,
0.631,
0.624,
0.599,
0.596,
0.596,
0.599,
0.602,
0.605,
0.607,
0.608,
0.609,
0.612,
0.614,
0.616,
0.619,
0.621,
0.627,
0.637,
0.642,
0.64,
0.638,
0.636,
0.641,
