theta,uvel,tke,vert_heights,brunt,tke_250,tke_1000
301.19,0.792,0.10627362,1655.79,0.00516578,0.408439674,0.157200919
301.2,0.756,0.10569771,1674.82,0.00514818,0.413115012,0.157592018
301.21,0.711,0.10509993,1693.86,0.00509532,0.417687228,0.157658318
301.23,0.66,0.10449486,1712.89,0.004895,0.420646332,0.157322249
301.25,0.607,0.1038825,1731.92,0.00460652,0.422165269,0.156754405
301.26,0.557,0.10327743,1750.95,0.00444065,0.422821355,0.156365776
301.28,0.51,0.10265778,1769.98,0.00472845,0.423100049,0.156418711
301.29,0.469,0.10200897,1789.02,0.00562279,0.423155346,0.156816815
301.31,0.429,0.101331,1808.05,0.00699928,0.422987971,0.157707867
301.32,0.393,0.10064574,1827.08,0.00880538,0.422698789,0.158898823
301.34,0.364,0.09993861,1846.11,0.0102209,0.422302489,0.159962493
301.37,0.35,0.09925335,1865.15,0.0112031,0.421553293,0.161181138
301.4,0.352,0.09859725,1884.18,0.012212,0.420421367,0.162743937
301.44,0.355,0.09794115,1930,0.0132209,0.422749517,0.166028781
301.47,0.357,0.09728505,1970,0.0142298,0.413325066,0.168674353
301.5,0.36,0.09662895,2000,0.0152387,0.401628328,0.169627258
,,,,,0.394688796,0.170758765
,,,,,0.391406843,0.172310533
,,,,,0.391346645,0.174167281
,,,,,0.393685924,0.176300006
,,,,,0.397340799,0.178759841
,,,,,0.401746506,0.181659449
,,,,,0.407272738,0.185251812
,,,,,0.415519176,0.190039497
,,,,,0.426943784,0.195737289
,,,,,0.439188243,0.200101119
,,,,,0.45208636,0.203443977
,,,,,0.464467599,0.206575871
,,,,,0.474769384,0.209329318
,,,,,0.483242556,0.211791349
,,,,,0.490806565,0.214134395
,,,,,0.498063594,0.216297955
,,,,,0.504980785,0.218271653
,,,,,0.511085618,0.220250775
,,,,,0.515984999,0.222457527
,,,,,0.519817024,0.22395853
,,,,,0.522895482,0.22514253
,,,,,0.525497862,0.226353214
,,,,,0.5279178,0.227672498
,,,,,0.530623472,0.229161074
,,,,,0.534283043,0.230818355
,,,,,0.539176009,0.23248139
,,,,,0.544755698,0.234031188
,,,,,0.550608359,0.235327139
,,,,,0.556939427,0.235348175
,,,,,0.563958495,0.234631951
,,,,,0.571537761,0.233850635
,,,,,0.579366568,0.233011709
,,,,,0.587514721,0.232252327
,,,,,0.596116075,0.231826516
,,,,,0.604716161,0.231625605
,,,,,0.613365272,0.231706294
,,,,,0.622586391,0.232187796
,,,,,0.632495881,0.232961838
,,,,,0.642697772,0.233701627
,,,,,0.652657884,0.233733596
,,,,,0.661920072,0.23148702
,,,,,0.670126527,0.229067633
,,,,,0.67754496,0.22905258
,,,,,0.684445243,0.229776612
,,,,,0.690812777,0.23092025
,,,,,0.696529531,0.232365951
,,,,,0.700255917,0.233849509
,,,,,0.701248676,0.234928443
,,,,,0.700035581,0.235488915
,,,,,0.698088717,0.235903359
,,,,,0.696824046,0.236581646
,,,,,0.696479491,0.237511545
,,,,,0.696716695,0.238649712
,,,,,0.697264951,0.240309842
,,,,,0.698263805,0.242698596
,,,,,0.70006266,0.243868937
,,,,,0.702896105,0.2430689
,,,,,0.706826511,0.241310098
,,,,,0.71196541,0.239384492
,,,,,0.717603788,0.237409373
,,,,,0.72191801,0.235346061
,,,,,0.724156075,0.233320752
,,,,,0.726391276,0.231560135
,,,,,0.730459849,0.230480764
,,,,,0.734776055,0.230035224
,,,,,0.738529573,0.229692975
,,,,,0.742414823,0.229119195
,,,,,0.748149977,0.228241249
,,,,,0.75564095,0.226957674
,,,,,0.76338047,0.225339833
,,,,,0.76950172,0.22362095
,,,,,0.772319854,0.222044433
,,,,,0.771963366,0.220931107
,,,,,0.769915423,0.220465611
,,,,,0.768169507,0.220570803
,,,,,0.767855987,0.221385706
,,,,,0.769445955,0.223273047
,,,,,0.774312548,0.22687777
,,,,,0.783019613,0.232098204
,,,,,0.794046458,0.23787032
,,,,,0.805112205,0.243280609
,,,,,0.815669259,0.248059382
,,,,,0.826276309,0.252278521
,,,,,0.836587644,0.256169427
,,,,,0.845486535,0.259977536
,,,,,0.852700147,0.263975327
,,,,,0.858675625,0.269092277
,,,,,0.863060501,0.275200048
,,,,,0.865169303,0.280185165
,,,,,0.865638221,0.283677821
,,,,,0.866015972,0.286529757
,,,,,0.867093638,0.289094976
,,,,,0.867741052,0.291151734
,,,,,0.866953204,0.292954615
